Key,Module,EN,CN,TC,JP,KR,RU,MX,PT,FR,DE,ID,VI,TH,IT
common.frequently_asked_questions,common,Frequently Asked Questions,常见问题,常見問題,よくある質問,자주 묻는 질문,Часто Задаваемые Вопросы,Preguntas Frecuentes,Perguntas Frequentes,Questions Fréquentes,Häufig gestellte Fragen,Pertanyaan Yang Sering Diajukan,Câu hỏi thường gặp,คำถามที่พบบ่อย,Domande Frequenti
common.gold_cost,common,Gold Cost,金币消耗,金幣消耗,ゴールド消費,골드 비용,Стоимость в Золоте,Costo de Oro,Custo em Ouro,Coût en Or,Goldkosten,Biaya Emas,Chi phí vàng,ค่าใช้จ่ายทอง,Costo in Oro
common.inputs,common,Inputs,输入,輸入,入力,입력,Вход,Entradas,Entradas,Entrées,Eingaben,Input,Đầu vào,อินพุต,Input
common.last_updated,common,Last updated,最后更新,最後更新,最終更新,마지막 업데이트,Последнее обновление,Última actualización,Última Atualização,Dernière mise à jour,Zuletzt aktualisiert,Terakhir Diperbarui,Cập nhật lần cuối,อัปเดตล่าสุด,Ultimo aggiornamento
common.latest,common,Latest,最新,最新,最新,최신,Последние,Más reciente,Recentes,Récent,Neueste,Terbaru,Mới nhất,ล่าสุด,Recenti
common.level,common,Level,等级,等級,レベル,레벨,Уровень,Nivel,Nível,Niveau,Stufe,Level,Cấp,เลเวล,Livello
common.loading,common,Loading...,加载中...,加載中...,読み込み中...,로딩 중...,Загрузка...,Cargando...,Carregando...,Chargement...,Laden...,Memuat...,Đang tải...,กำลังโหลด...,Caricamento...
common.name,common,Name,名称,名稱,名前,이름,Названию,Nombre,Nome,Nom,Name,Nama,Tên,ชื่อ,Nome
common.no,common,No,否,否,いいえ,아니오,Нет,No,Não,Non,Nein,Tidak,Không,ไม่,No
common.no_data_yet,common,No data yet,暂无数据,暫無資料,データがまだありません,아직 데이터 없음,Данных пока нет,Sin datos aún,Nenhum dado ainda,Pas encore de données,Noch keine Daten,Belum ada data,Chưa có dữ liệu,ยังไม่มีข้อมูล,Ancora nessun dato
common.no_results,common,No results found,未找到结果,未找到結果,結果が見つかりません,결과를 찾을 수 없습니다,Результаты не найдены,Sin resultados,Nenhum resultado,Aucun résultat trouvé,Keine Ergebnisse gefunden,Tidak ada hasil,Không có kết quả,ไม่มีผลลัพธ์,Nessun risultato trovato
common.optional,common,optional,可选,選填,任意,선택사항,необязательно,opcional,Opcional,optionnel,optional,Opsional,Tùy chọn,ตัวเลือก,opzionale
common.outputs,common,Outputs,输出,輸出,出力,출력,Выход,Salidas,Saídas,Sorties,Ausgaben,Output,Đầu ra,เอาต์พุต,Output
common.planner,common,Planner,规划,規劃,プランナー,플래너,Планировщик,Planificador,Planejador,Planificateur,Planer,Perencana,Trình lập kế hoạch,ตัววางแผน,Pianificatore
common.popular,common,Popular,热门,熱門,人気,인기,Популярное,Popular,Populares,Populaire,Beliebt,Populer,Phổ biến,ยอดนิยม,Popolari
common.preview,common,Preview,预览,預覽,プレビュー,미리보기,Предпросмотр,Vista Previa,Prévia,Aperçu,Vorschau,Pratinjau,Xem trước,ตัวอย่าง,Anteprima
common.private,common,Private,私密,私人,非公開,비공개,Приватная,Privado,Privado,Privé,Privat,Pribadi,Riêng tư,ส่วนตัว,Privato
common.public,common,Public,公开,公開,公開,공개,Публичная,Público,Público,Public,Öffentlich,Publik,Công khai,สาธารณะ,Pubblico
common.quick_navigation,common,Quick Navigation,快速导航,快速導航,クイックナビゲーション,빠른 탐색,Быстрая Навигация,Navegación Rápida,Navegação Rápida,Navigation Rapide,Schnellnavigation,Navigasi Cepat,Điều hướng nhanh,นำทางด่วน,Navigazione Rapida
common.rarity,common,Rarity,稀有度,稀有度,レアリティ,등급,Редкость,Rareza,Raridade,Rareté,Seltenheit,Kelangkaan,Độ hiếm,ระดับหายาก,Rarità
common.region,common,Region,区域,區域,リージョン,지역,Регион,Región,Região,Région,Region,Wilayah,Khu vực,ภูมิภาค,Regione
common.related_characters,common,Related Characters,相关角色,相關角色,関連キャラクター,관련 캐릭터,Связанные Персонажи,Personajes Relacionados,Personagens Relacionados,Personnages Liés,Verwandte Charaktere,Karakter Terkait,Nhân vật liên quan,ตัวละครที่เกี่ยวข้อง,Personaggi Correlati
common.related_weapons,common,Related Weapons,相关武器,相關武器,関連武器,관련 무기,Связанное Оружие,Armas Relacionadas,Armas Relacionadas,Armes Liées,Verwandte Waffen,Senjata Terkait,Vũ khí liên quan,อาวุธที่เกี่ยวข้อง,Armi Correlate
common.remove,common,Remove,移除,移除,削除,제거,Удалить,Eliminar,Remover,Retirer,Entfernen,Hapus,Xóa,ลบ,Rimuovi
common.reset,common,Reset,重置,重置,リセット,초기화,Сбросить,Restablecer,Redefinir,Réinitialiser,Zurücksetzen,Reset,Đặt lại,รีเซ็ต,Reimposta
common.save,common,Save,保存,保存,保存,저장,Сохранить,Guardar,Salvar,Sauvegarder,Speichern,Simpan,Lưu,บันทึก,Salva
common.saving,common,Saving...,保存中...,儲存中...,保存中...,저장 중...,Сохранение...,Guardando...,Salvando...,Sauvegarde...,Speichern...,Menyimpan...,Đang lưu...,กำลังบันทึก...,Salvataggio...
common.search,common,Search,搜索,搜尋,検索,검색,Поиск,Buscar,Buscar,Rechercher,Suchen,Cari,Tìm kiếm,ค้นหา,Cerca
common.search_results,common,Search Results,搜索结果,搜尋結果,検索結果,검색 결과,Результаты поиска,Resultados de búsqueda,Resultados da Busca,Résultats de Recherche,Suchergebnisse,Hasil Pencarian,Kết quả tìm kiếm,ผลการค้นหา,Risultati Ricerca
common.show_less,common,Show Less,收起,收起,閉じる,접기,Свернуть,Mostrar menos,Mostrar Menos,Voir Moins,Weniger anzeigen,Tampilkan Lebih Sedikit,Hiện ít hơn,แสดงน้อยลง,Mostra Meno
common.show_more,common,Show More,展开更多,展開更多,もっと見る,더 보기,Показать больше,Mostrar más,Mostrar Mais,Voir Plus,Mehr anzeigen,Tampilkan Lebih Banyak,Hiện thêm,แสดงเพิ่มเติม,Mostra Altro
common.skills,common,Skills,技能,技能,スキル,스킬,Навыки,Habilidades,Habilidades,Compétences,Fähigkeiten,Skill,Kỹ năng,สกิล,Abilità
common.sort_by,common,Sort By,排序,排序,並び替え,정렬,Сортировка,Ordenar por,Ordenar por,Trier Par,Sortieren nach,Urutkan berdasarkan,Sắp xếp theo,เรียงตาม,Ordina Per
common.stats,common,Stats,属性,屬性,ステータス,스탯,Характеристики,Estadísticas,Status,Stats,Stats,Stat,Chỉ số,สเตตัส,Statistiche
common.success,common,Success,成功,成功,成功,성공,Успех,Éxito,Sucesso,Succès,Erfolg,Sukses,Thành công,สำเร็จ,Successo
common.tags,common,Tags,标签,標籤,タグ,태그,Теги,Etiquetas,Tags,Tags,Tags,Tag,Nhãn,แท็ก,Tag
common.talents,common,Talents,天赋,天賦,スキル,스킬,Навыки,Talentos,Talentos,Talents,Talente,Bakat,Tài năng,พรสวรรค์,Talenti
common.this_month,common,This Month,本月,本月,今月,이번 달,Этот месяц,Este mes,Este Mês,Ce Mois,Diesen Monat,Bulan Ini,Tháng này,เดือนนี้,Questo Mese
common.this_week,common,This Week,本周,本週,今週,이번 주,Эта неделя,Esta semana,Esta Semana,Cette Semaine,Diese Woche,Minggu Ini,Tuần này,สัปดาห์นี้,Questa Settimana
common.tier,common,Tier,阶级,階級,ティア,티어,Уровню,Nivel,Tier,Tier,Tier,Tier,Hạng,ระดับ,Tier
common.type,common,Type,类型,類型,タイプ,유형,Тип,Tipo,Tipo,Type,Typ,Tipe,Loại,ประเภท,Tipo
common.view,common,View,查看,查看,表示,보기,Просмотр,Ver,Ver,Voir,Ansehen,Lihat,Xem,ดู,Visualizza
common.weapon,common,Weapon,武器,武器,武器,무기,Оружие,Arma,Arma,Arme,Waffe,Senjata,Vũ khí,อาวุธ,Arma
common.weapons,common,Weapons,武器,武器,武器,무기,Оружие,Armas,Armas,Armes,Waffen,Senjata,Vũ khí,อาวุธ,Armi
common.yes,common,Yes,是,是,はい,예,Да,Sí,Sim,Oui,Ja,Ya,Có,ใช่,Sì
custom.conveyor_merger.desc,custom,Merges up to 3 conveyor lines into 1 output. Does not require power.,将最多3条传送带合并为1条输出。无需电力。,將最多3條傳送帶合併為1條輸出。無需電力。,最大3本のコンベアを1本の出力に統合します。電力不要。,최대 3개의 컨베이어를 하나의 출력으로 병합합니다. 전력 불필요.,Объединяет до 3 конвейерных линий в 1 выход. Не требует питания.,Fusiona hasta 3 líneas transportadoras en 1 salida. No requiere energía.,Combina várias esteiras em uma,Fusionne jusqu'à 3 lignes de convoyeurs en 1 sortie. Ne nécessite pas d'énergie.,Führt bis zu 3 Förderbandlinien zu 1 Ausgang zusammen. Benötigt keine Energie.,Menggabungkan beberapa konveyor menjadi satu,Hợp nhất nhiều băng chuyền thành một.,รวมสายพานลำเลียงหลายเส้นเป็นหนึ่งเดียว,Unisce fino a 3 linee nastro in 1 uscita. Non richiede energia.
custom.conveyor_merger.name,custom,Conveyor Merger,传送带合并器,傳送帶合併器,コンベアマージャー,컨베이어 병합기,Объединитель Конвейеров,Fusionador de Transportadores,Combinador de Esteiras,Fusionneur de Convoyeurs,Förderband-Zusammenführer,Penggabung Konveyor,Bộ hợp nhất băng chuyền,ตัวรวมสายพานลำเลียง,Fusore Nastri
equipment.additional_stats,equipment,Additional Stats,附加属性,附加屬性,追加ステータス,추가 스탯,Дополнительные Характеристики,Estadísticas Adicionales,Status Adicionais,Stats Additionnelles,Zusätzliche Stats,Stat Tambahan,Chỉ số bổ sung,สเตตัสเพิ่มเติม,Statistiche Aggiuntive
equipment.all_parts,equipment,All Part Types,所有部位,所有部位類型,すべての部位,모든 부위,Все Типы Частей,Todos los Tipos,Todas as Partes,Tous les Types de Pièces,Alle Teile,Semua Bagian,Tất cả bộ phận,ส่วนทั้งหมด,Tutti i Tipi di Parte
equipment.all_stages,equipment,All Stages,所有阶段,所有階段,すべてのステージ,모든 단계,Все Этапы,Todas las Etapas,Todas as Fases,Toutes les Étapes,Alle Stufen,Semua Tahap,Tất cả giai đoạn,ช่วงทั้งหมด,Tutte le Fasi
equipment.all_tiers,equipment,All Tiers,所有阶级,所有階級,すべてのティア,모든 티어,Все Уровни,Todos los Niveles,Todos os Tiers,Tous les Tiers,Alle Tiers,Semua Tier,Tất cả hạng,ระดับทั้งหมด,Tutti i Tier
equipment.attr.AllDamageTakenScalar,equipment,All DMG Taken Reduction,全伤害减免,全傷害減免,全被ダメージ軽減,전체 피해 감소,Снижение Получаемого Урона,Reducción de Daño Recibido,Redução de Dano Recebido,Réduction de Tous les Dégâts Reçus,Alle eingehenden Schadensreduzierung,Pengurangan Damage Diterima,Giảm sát thương nhận,ลดความเสียหายที่ได้รับ,Riduzione Danni Subiti
